22:07:41.968 INFO  Starting application... 
22:07:41.982 INFO  Server listening on port 3000 
22:07:55.710 INFO  [home] 1046 ms (SELECT * FROM Movie where movieId < 300;select * from Movie order by votes DESC limit 10;select * from Movie order by votes limit 10;select * from Movie order by runtime DESC limit 10) 
22:12:10.519 INFO  [searchMovie] 583 ms (select * from Movie where title like '%harry%') 
22:13:31.354 INFO  [register] 1504 ms (SELECT * FROM User WHERE username='log';) 
22:13:32.601 INFO  [home] 1153 ms (SELECT * FROM Movie where movieId < 300;select * from Movie order by votes DESC limit 10;select * from Movie order by votes limit 10;select * from Movie order by runtime DESC limit 10) 
22:13:48.216 INFO  [profile] 566 ms (select * from Movie M inner join Watched W on M.movieId = W.movieId where username = 'log';select * from Movie M inner join To_Watch W on M.movieId = W.movieId where username = 'log';select username,email from User where username = 'log';SELECT C.name, M.* FROM Collection C LEFT OUTER JOIN Collected_In CI ON (C.username, C.name) = (CI.username, CI.collectionName) LEFT OUTER JOIN Movie M ON M.movieId = CI.movieId WHERE C.username = 'log'ORDER BY C.name;select username1 from Friend_with where username2 = 'log';) 
22:15:22.689 INFO  [newCollection] 455 ms (SELECT * FROM Collection WHERE username = 'log' and name = 'Log Collection';) 
22:15:22.911 INFO  [profile] 94 ms (select * from Movie M inner join Watched W on M.movieId = W.movieId where username = 'log';select * from Movie M inner join To_Watch W on M.movieId = W.movieId where username = 'log';select username,email from User where username = 'log';SELECT C.name, M.* FROM Collection C LEFT OUTER JOIN Collected_In CI ON (C.username, C.name) = (CI.username, CI.collectionName) LEFT OUTER JOIN Movie M ON M.movieId = CI.movieId WHERE C.username = 'log'ORDER BY C.name;select username1 from Friend_with where username2 = 'log';) 
22:16:06.261 INFO  [login] 690 ms (SELECT * FROM User WHERE username='log';) 
22:16:07.404 INFO  [home] 1137 ms (SELECT * FROM Movie where movieId < 300;select * from Movie order by votes DESC limit 10;select * from Movie order by votes limit 10;select * from Movie order by runtime DESC limit 10) 
22:16:19.419 INFO  [review] 645 ms (select * from Movie where movieId = 24428;select * from Review where movieId = 24428;select count(movieId) from Recommends where movieId = 24428;SELECT COUNT(username) as watchCheck FROM cis550sssx1.Watched WHERE username = 'log' and movieId = 24428;SELECT COUNT(username) as towatchCheck FROM cis550sssx1.To_Watch WHERE username = 'log' and movieId = 24428;SELECT COUNT(username) as recCheck FROM cis550sssx1.Recommends WHERE username = 'log' and movieId = 24428;SELECT name FROM Collection WHERE username = 'log') 
22:16:27.279 INFO  [recommend] 491 ms (INSERT INTO Recommends (username, movieId) VALUES ('log', 24428);) 
22:16:27.382 INFO  [review] 92 ms (select * from Movie where movieId = 24428;select * from Review where movieId = 24428;select count(movieId) from Recommends where movieId = 24428;SELECT COUNT(username) as watchCheck FROM cis550sssx1.Watched WHERE username = 'log' and movieId = 24428;SELECT COUNT(username) as towatchCheck FROM cis550sssx1.To_Watch WHERE username = 'log' and movieId = 24428;SELECT COUNT(username) as recCheck FROM cis550sssx1.Recommends WHERE username = 'log' and movieId = 24428;SELECT name FROM Collection WHERE username = 'log') 
22:16:43.812 INFO  [toWatch] 677 ms (INSERT INTO To_Watch (username, movieId) VALUES ('log', 24428);) 
22:16:43.963 INFO  [review] 143 ms (select * from Movie where movieId = 24428;select * from Review where movieId = 24428;select count(movieId) from Recommends where movieId = 24428;SELECT COUNT(username) as watchCheck FROM cis550sssx1.Watched WHERE username = 'log' and movieId = 24428;SELECT COUNT(username) as towatchCheck FROM cis550sssx1.To_Watch WHERE username = 'log' and movieId = 24428;SELECT COUNT(username) as recCheck FROM cis550sssx1.Recommends WHERE username = 'log' and movieId = 24428;SELECT name FROM Collection WHERE username = 'log') 
22:16:56.948 INFO  [watched] 523 ms (INSERT INTO Watched (username, movieId) VALUES ('log', 24428);) 
22:16:57.045 INFO  [review] 90 ms (select * from Movie where movieId = 24428;select * from Review where movieId = 24428;select count(movieId) from Recommends where movieId = 24428;SELECT COUNT(username) as watchCheck FROM cis550sssx1.Watched WHERE username = 'log' and movieId = 24428;SELECT COUNT(username) as towatchCheck FROM cis550sssx1.To_Watch WHERE username = 'log' and movieId = 24428;SELECT COUNT(username) as recCheck FROM cis550sssx1.Recommends WHERE username = 'log' and movieId = 24428;SELECT name FROM Collection WHERE username = 'log') 
22:17:08.036 INFO  [updateCollection] 424 ms (INSERT INTO Collected_In (movieId, username, collectionName) VALUES (24428, 'log', 'Log Collection')) 
22:17:08.139 INFO  [review] 94 ms (select * from Movie where movieId = 24428;select * from Review where movieId = 24428;select count(movieId) from Recommends where movieId = 24428;SELECT COUNT(username) as watchCheck FROM cis550sssx1.Watched WHERE username = 'log' and movieId = 24428;SELECT COUNT(username) as towatchCheck FROM cis550sssx1.To_Watch WHERE username = 'log' and movieId = 24428;SELECT COUNT(username) as recCheck FROM cis550sssx1.Recommends WHERE username = 'log' and movieId = 24428;SELECT name FROM Collection WHERE username = 'log') 
22:17:24.328 INFO  [profile] 90 ms (select * from Movie M inner join Watched W on M.movieId = W.movieId where username = 'log';select * from Movie M inner join To_Watch W on M.movieId = W.movieId where username = 'log';select username,email from User where username = 'log';SELECT C.name, M.* FROM Collection C LEFT OUTER JOIN Collected_In CI ON (C.username, C.name) = (CI.username, CI.collectionName) LEFT OUTER JOIN Movie M ON M.movieId = CI.movieId WHERE C.username = 'log'ORDER BY C.name;select username1 from Friend_with where username2 = 'log';) 
22:17:57.062 INFO  [home] 1804 ms (SELECT * FROM Movie where movieId < 300;select * from Movie order by votes DESC limit 10;select * from Movie order by votes limit 10;select * from Movie order by runtime DESC limit 10) 
22:18:01.899 INFO  [searchMovie] 1371 ms (select * from Movie where title like '%harry%') 
22:18:20.347 INFO  [review] 103 ms (select * from Movie where movieId = 639;select * from Review where movieId = 639;select count(movieId) from Recommends where movieId = 639;SELECT COUNT(username) as watchCheck FROM cis550sssx1.Watched WHERE username = 'log' and movieId = 639;SELECT COUNT(username) as towatchCheck FROM cis550sssx1.To_Watch WHERE username = 'log' and movieId = 639;SELECT COUNT(username) as recCheck FROM cis550sssx1.Recommends WHERE username = 'log' and movieId = 639;SELECT name FROM Collection WHERE username = 'log') 
22:18:25.751 INFO  [addfriend] 918 ms (INSERT INTO Friend_with (username1, username2) VALUES ('demo_user', 'log')) 
22:18:25.850 INFO  [review] 92 ms (select * from Movie where movieId = 639;select * from Review where movieId = 639;select count(movieId) from Recommends where movieId = 639;SELECT COUNT(username) as watchCheck FROM cis550sssx1.Watched WHERE username = 'log' and movieId = 639;SELECT COUNT(username) as towatchCheck FROM cis550sssx1.To_Watch WHERE username = 'log' and movieId = 639;SELECT COUNT(username) as recCheck FROM cis550sssx1.Recommends WHERE username = 'log' and movieId = 639;SELECT name FROM Collection WHERE username = 'log') 
22:18:48.318 INFO  [profile] 199 ms (select * from Movie M inner join Watched W on M.movieId = W.movieId where username = 'log';select * from Movie M inner join To_Watch W on M.movieId = W.movieId where username = 'log';select username,email from User where username = 'log';SELECT C.name, M.* FROM Collection C LEFT OUTER JOIN Collected_In CI ON (C.username, C.name) = (CI.username, CI.collectionName) LEFT OUTER JOIN Movie M ON M.movieId = CI.movieId WHERE C.username = 'log'ORDER BY C.name;select username1 from Friend_with where username2 = 'log';) 
22:20:15.386 INFO  [deletefriend] 461 ms (DELETE FROM Friend_with WHERE (username1, username2) = ('demo_user', 'log')) 
22:20:15.506 INFO  [profile] 113 ms (select * from Movie M inner join Watched W on M.movieId = W.movieId where username = 'log';select * from Movie M inner join To_Watch W on M.movieId = W.movieId where username = 'log';select username,email from User where username = 'log';SELECT C.name, M.* FROM Collection C LEFT OUTER JOIN Collected_In CI ON (C.username, C.name) = (CI.username, CI.collectionName) LEFT OUTER JOIN Movie M ON M.movieId = CI.movieId WHERE C.username = 'log'ORDER BY C.name;select username1 from Friend_with where username2 = 'log';) 
22:20:25.051 INFO  [deleteFromCollection] 1286 ms (DELETE FROM Collected_In WHERE (movieId, username, collectionName) = (24428, 'log', 'Log Collection')) 
